City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
408,Mithi,PK,82.02,clear sky,24.7318,69.7981,Ashiyana guest house
425,Puerto Leguizamo,CO,81.52,overcast clouds,-0.1934,-74.7819,la casona de juancho
441,Cockburn Town,TC,82.9,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
443,San Ignacio,BZ,84.29,overcast clouds,17.1561,-89.0714,Rainforest Haven Inn
449,Ewa Beach,US,83.98,clear sky,21.3156,-158.0072,Base Lodging
461,Muli,MV,82.18,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
464,Port Blair,IN,81.19,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
469,Qurayyat,SA,82.15,clear sky,31.3318,37.3428,Resorts Kandel
473,Wichita Falls,US,85.24,clear sky,33.9137,-98.4934,Quality Inn & Suites Wichita Falls I-44
481,Sabang,ID,81.25,overcast clouds,5.8933,95.3214,Hotel Citra
489,Quibdo,CO,81.41,moderate rain,5.6947,-76.6611,Domus Goval Hotel Quibdó
494,Bam,IR,80.15,clear sky,29.106,58.357,Bam Tourist Hotel
500,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
507,San Patricio,US,88.16,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
510,Bushehr,IR,86.34,clear sky,28.9684,50.8385,Yas Hotel
519,Northport,US,80.89,clear sky,33.229,-87.5772,Hotel Capstone
522,Portland,US,80.83,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
528,Salinopolis,BR,83.41,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
541,The Valley,AI,87.66,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
553,Nautla,MX,81.86,scattered clouds,20.2167,-96.7833,Casa Blanca
554,Maceio,BR,81.84,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
555,Sinnamary,GF,84.88,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
566,Matadi,CD,81.88,overcast clouds,-5.8167,13.45,Hotel Vivi Palace
580,Champerico,GT,83.84,few clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
584,Nuevo Progreso,MX,88.54,clear sky,23.1667,-97.95,Balneario Rio el Paraiso
593,Tual,ID,82.49,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
604,Xihe,CN,82.06,clear sky,31.6864,113.4659,Junyi Apartment Guest Room
615,Lethem,GY,88.52,overcast clouds,3.3803,-59.7968,Savannah Inn
617,Santa Cruz,BO,87.85,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
619,Laureles,US,87.84,scattered clouds,26.1092,-97.4941,Los Fresnos Inn
625,Miramar,US,86.0,overcast clouds,25.9873,-80.2323,Stadium Hotel
626,Surt,LY,82.47,clear sky,31.2089,16.5887,فندق المدينة
639,Dera Bugti,PK,83.43,clear sky,29.0307,69.151,Nawab Bugti House
644,Kutum,SD,85.69,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
645,Bosaso,SO,86.11,few clouds,11.2842,49.1816,Red Sea Hotel
646,Abu Kamal,SY,83.84,clear sky,34.4506,40.9171,البوكمال
662,Waspan,NI,82.56,overcast clouds,14.7419,-83.9717,Hostal casa de la rose
665,Itarema,BR,83.05,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
667,Satipo,PE,88.48,broken clouds,-11.2522,-74.6386,Bungalows El Palmiche
668,Port Lavaca,US,86.05,clear sky,28.615,-96.6261,Holiday Inn Express & Suites Port Lavaca
670,Simbahan,PH,82.99,few clouds,6.3032,120.5836,
671,Bardiyah,LY,81.95,clear sky,31.7561,25.0865,بورتو بردية
684,Mbour,SN,83.25,few clouds,14.422,-16.9638,Tama Lodge
690,Nueva Rosita,MX,85.6,clear sky,27.95,-101.2167,Hotel Rosa De Oro
691,Sur,OM,81.45,clear sky,22.5667,59.5289,Sur Plaza Hotel
693,Abapo,BO,85.64,scattered clouds,-18.8333,-63.4667,
