City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Mhasla,IN,18.1333,73.1167,76.44,93,100,3.33,overcast clouds
80,Jinsha,CN,32.0898,121.0735,74.98,93,42,10.2,scattered clouds
81,Baykalsk,RU,51.5058,104.1469,29.39,69,78,9.78,broken clouds
82,Tasiilaq,GL,65.6145,-37.6368,36.25,98,100,4.16,overcast clouds
83,Tiznit,MA,29.5833,-9.5,72.97,44,98,3.96,overcast clouds
84,Avera,US,33.194,-82.5271,76.51,42,73,7.38,broken clouds
85,Kodiak,US,57.79,-152.4072,40.51,87,100,5.75,overcast clouds
86,Ribeira Grande,PT,38.5167,-28.7,73.8,83,75,21.85,broken clouds
87,Provideniya,RU,64.3833,-173.3,38.37,84,81,17.52,broken clouds
88,Hovd,MN,48.0056,91.6419,23.4,37,88,1.81,overcast clouds
89,Seondha,IN,26.1578,78.7797,81.43,55,0,2.15,clear sky
90,Kamina,CD,-8.7386,24.9906,75.02,42,91,1.79,overcast clouds
91,Hongjiang,CN,27.11,109.9956,74.16,92,22,3.78,few clouds
92,Georgetown,MY,5.4112,100.3354,78.73,87,40,3.44,scattered clouds
93,Samaipata,BO,-18.15,-63.8667,68.88,42,66,7.94,broken clouds
94,Korla,CN,41.7597,86.1469,53.91,30,100,12.35,overcast clouds
95,Parana,AR,-31.732,-60.5238,82.54,31,0,3.33,clear sky
96,Baiao,BR,-2.7906,-49.6717,93.2,39,98,4.32,overcast clouds
97,North Bend,US,43.4065,-124.2243,76.91,69,0,14.97,clear sky
98,Progreso,MX,21.2833,-89.6667,87.91,51,2,9.82,clear sky
99,Cidreira,BR,-30.1811,-50.2056,65.28,72,82,12.95,broken clouds
100,Kavieng,PG,-2.5744,150.7967,80.71,80,9,12.24,light rain
101,Mandalgovi,MN,45.7625,106.2708,37.29,54,100,15.12,overcast clouds
102,Geraldton,AU,-28.7667,114.6,52.21,93,29,5.75,scattered clouds
103,Norman Wells,CA,65.282,-126.8329,50.04,81,100,11.5,light rain
104,Cayenne,GF,4.9333,-52.3333,89.64,58,0,17.27,clear sky
105,Saint-Pierre,RE,-21.3393,55.4781,67.68,75,20,6.91,few clouds
106,Nishihara,JP,26.1842,127.7558,78.85,86,40,5.75,scattered clouds
107,Lompoc,US,34.6391,-120.4579,76.01,83,100,5.75,overcast clouds
108,Tura,IN,25.5198,90.2201,75.16,93,81,3.27,broken clouds
109,Vardo,NO,70.3705,31.1107,37.38,81,100,2.3,overcast clouds
110,Arlit,NE,18.7369,7.3853,90.64,30,100,12.26,overcast clouds
111,Talcahuano,CL,-36.7167,-73.1167,64.08,63,0,6.91,clear sky
112,Deputatskiy,RU,69.3,139.9,3.61,97,86,4.47,overcast clouds
113,Atuona,PF,-9.8,-139.0333,76.26,76,18,16.06,few clouds
114,Russell,US,32.3502,-85.1999,81.91,32,0,12.66,clear sky
115,Tongliao,CN,43.6125,122.2653,55.87,92,100,8.75,overcast clouds
116,Yoichi,JP,43.2039,140.7703,62.85,90,80,7.11,broken clouds
117,Zaliznychne,UA,45.7489,28.6147,70.21,60,100,11.43,overcast clouds
118,Alausi,EC,-2.2,-78.8333,58.6,61,73,2.86,broken clouds
119,Hamilton,US,39.1834,-84.5333,75.25,41,1,7.0,clear sky
120,Thompson,CA,55.7435,-97.8558,48.36,46,0,6.91,clear sky
121,Bereda,ES,43.2686,-7.5406,61.14,89,24,2.33,few clouds
122,Shimoda,JP,34.6667,138.95,71.01,78,15,8.46,few clouds
123,Penarth,GB,51.4394,-3.1761,61.32,82,75,17.27,broken clouds
124,Bell Ville,AR,-32.6259,-62.6887,83.66,18,32,7.11,scattered clouds
125,Urla,TR,38.3229,26.764,77.4,50,4,5.99,clear sky
126,Huadian,CN,42.9633,126.7478,57.4,94,100,4.16,overcast clouds
127,Goderich,CA,43.7501,-81.7165,67.91,55,100,10.36,overcast clouds
128,Mehamn,NO,71.0357,27.8492,40.91,93,100,0.0,overcast clouds
129,Madera,US,37.1666,-119.8343,91.87,22,0,3.0,clear sky
130,Mukhen,RU,48.1,136.1,41.95,93,13,3.78,few clouds
131,Ingleside,US,27.8778,-97.2117,86.22,41,0,9.22,clear sky
132,Gizo,SB,-8.103,156.8419,80.92,75,27,4.34,light rain
133,Bull Savanna,JM,17.8868,-77.5902,81.07,71,100,5.88,overcast clouds
134,Hithadhoo,MV,-0.6,73.0833,81.61,72,99,13.33,overcast clouds
135,Gondanglegi,ID,-7.7479,112.0132,75.43,92,100,8.46,overcast clouds
136,Khutar,IN,28.2,80.2833,75.87,74,0,3.36,clear sky
137,Rosarito,MX,32.3333,-117.0333,77.25,64,2,7.76,clear sky
138,Port Hardy,CA,50.6996,-127.4199,50.18,100,100,3.44,mist
139,Keetmanshoop,NA,-26.5833,18.1333,81.37,9,0,0.54,clear sky
